GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,AST_DAY_RANK
4/1/2019,POR,Portland Trail Blazers,POR @ MIN,Damian Lillard,G,34,4510,3,1597,12,111,0,7843,6,4636,0,13385,5,7038,0,11467,5,338,1
4/1/2019,BOS,Boston Celtics,BOS vs. MIA,Al Horford,C-F,49.2,1089,0,12874,10,325,0,7843,7,3260,5,1672,11,1140,1,4317,1,8514,2
4/1/2019,POR,Portland Trail Blazers,POR @ MIN,Evan Turner,G,43.2,1973,1,7056,10,325,0,7843,5,6509,2,6102,11,1140,1,4317,1,8514,3
4/1/2019,MIN,Minnesota Timberwolves,MIN vs. POR,Tyus Jones,G,39.6,2762,0,12874,10,325,0,7843,7,3260,0,13385,3,12137,3,415,2,4097,4
4/1/2019,TOR,Toronto Raptors,TOR vs. ORL,Kyle Lowry,G,41.7,2257,3,1597,7,1184,1,2443,3,11548,3,4174,6,5192,3,415,0,15731,5
4/1/2019,MIA,Miami Heat,MIA @ BOS,Dwyane Wade,G,33.5,4691,0,12874,7,1184,0,7843,8,2174,1,10110,5,7038,1,4317,3,1827,6
4/1/2019,MIL,Milwaukee Bucks,MIL @ BKN,Eric Bledsoe,G,62.5,226,3,1597,7,1184,2,812,10,888,6,1093,5,7038,5,25,4,786,7
4/1/2019,TOR,Toronto Raptors,TOR vs. ORL,Fred VanVleet,G,30.5,5992,2,3543,7,1184,2,812,3,11548,2,6102,0,22086,2,1393,2,4097,8
4/1/2019,MIL,Milwaukee Bucks,MIL @ BKN,Tim Frazier,G,23.1,9884,2,3543,7,1184,0,7843,2,14769,1,10110,3,12137,1,4317,1,8514,9
4/1/2019,DAL,Dallas Mavericks,DAL vs. PHI,Jalen Brunson,G,23.5,9670,1,7056,7,1184,0,7843,6,4636,0,13385,0,22086,0,11467,0,15731,10
3/9/2019,LAL,Los Angeles Lakers,LAL vs. BOS,LeBron James,F,57,453,1,7056,12,111,0,7843,13,186,3,4174,10,1582,0,11467,3,1827,1
3/9/2019,ATL,Atlanta Hawks,ATL vs. BKN,Trae Young,G,52.5,758,2,3543,11,183,0,7843,4,8828,13,62,10,1582,1,4317,2,4097,2
3/9/2019,WAS,Washington Wizards,WAS @ MIN,Tomas Satoransky,G,30.1,6151,0,12874,11,183,0,7843,4,8828,1,10110,3,12137,1,4317,2,4097,3
3/9/2019,WAS,Washington Wizards,WAS @ MIN,Bradley Beal,G,64.5,169,2,3543,9,525,1,2443,13,186,8,447,10,1582,1,4317,3,1827,4
3/9/2019,LAL,Los Angeles Lakers,LAL vs. BOS,Rajon Rondo,G,24.7,8917,0,12874,9,525,0,7843,2,14769,0,13385,6,5192,1,4317,3,1827,5
3/9/2019,POR,Portland Trail Blazers,POR vs. PHX,Damian Lillard,G,33.9,4546,2,3543,9,525,0,7843,4,8828,8,447,2,15352,0,11467,0,15731,6
3/9/2019,SAC,Sacramento Kings,SAC @ NYK,De'Aaron Fox,G,48,1227,2,3543,8,789,0,7843,11,549,6,1093,5,7038,1,4317,3,1827,7
