GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,BLK_DAY_RANK
4/1/2019,IND,Indiana Pacers,IND vs. DET,Myles Turner,C-F,48.2,1205,2,3543,0,18130,5,37,5,6509,5,1672,6,5192,3,415,0,15731,1
4/1/2019,MIL,Milwaukee Bucks,MIL @ BKN,Brook Lopez,C,36.4,3640,1,7056,2,8551,4,98,5,6509,3,4174,2,15352,2,1393,1,8514,2
4/1/2019,DET,Detroit Pistons,DET @ IND,Thon Maker,F,35.2,4048,4,662,2,8551,4,98,4,8828,2,6102,6,5192,0,11467,1,8514,3
4/1/2019,POR,Portland Trail Blazers,POR @ MIN,Enes Kanter,C,44.7,1730,0,12874,1,12618,4,98,7,3260,6,1093,11,1140,0,11467,2,4097,4
4/1/2019,NYK,New York Knicks,NYK vs. CHI,Luke Kornet,F-C,41.7,2257,5,280,1,12618,3,272,8,2174,3,4174,6,5192,0,11467,0,15731,5
4/1/2019,ORL,Orlando Magic,ORL @ TOR,Jonathan Isaac,F,32.8,4968,2,3543,2,8551,3,272,3,11548,0,13385,4,9339,3,415,1,8514,6
4/1/2019,TOR,Toronto Raptors,TOR vs. ORL,Danny Green,G,48.5,1171,7,46,1,12618,3,272,11,549,0,13385,5,7038,2,1393,3,1827,7
4/1/2019,PHI,Philadelphia 76ers,PHI @ DAL,Ben Simmons,G,38.9,2942,0,12874,5,2659,3,272,5,6509,7,723,7,3913,0,11467,3,1827,8
4/1/2019,NYK,New York Knicks,NYK vs. CHI,Mitchell Robinson,C,40,2657,0,12874,4,3929,3,272,4,8828,6,1093,10,1582,0,11467,1,8514,9
4/1/2019,ORL,Orlando Magic,ORL @ TOR,Aaron Gordon,F,23.3,9779,0,12874,3,5849,3,272,3,11548,0,13385,4,9339,0,11467,1,8514,10
3/9/2019,NYK,New York Knicks,NYK vs. SAC,Mitchell Robinson,C,29.8,6292,0,12874,0,18130,3,272,2,14769,4,2601,9,2204,1,4317,1,8514,1
3/9/2019,POR,Portland Trail Blazers,POR vs. PHX,Jake Layman,F,20.5,11582,0,12874,1,12618,2,812,4,8828,1,10110,5,7038,0,11467,2,4097,2
3/9/2019,SAC,Sacramento Kings,SAC @ NYK,Nemanja Bjelica,F,40,2657,2,3543,2,8551,2,812,5,6509,1,10110,10,1582,2,1393,0,15731,3
3/9/2019,BOS,Boston Celtics,BOS @ LAL,Kyrie Irving,G,56.9,458,5,280,5,2659,2,812,12,318,1,10110,7,3913,2,1393,1,8514,4
3/9/2019,BOS,Boston Celtics,BOS @ LAL,Jaylen Brown,G,21.1,11193,1,7056,3,5849,2,812,3,11548,1,10110,3,12137,0,11467,1,8514,5
3/9/2019,POR,Portland Trail Blazers,POR vs. PHX,Jusuf Nurkic,C,27.3,7500,0,12874,1,12618,1,2443,4,8828,6,1093,9,2204,0,11467,2,4097,6
3/9/2019,LAL,Los Angeles Lakers,LAL vs. BOS,Moritz Wagner,C,36.7,3567,1,7056,3,5849,1,2443,7,3260,7,723,6,5192,1,4317,3,1827,7
3/9/2019,ATL,Atlanta Hawks,ATL vs. BKN,John Collins,F-C,62.8,219,0,12874,2,8551,1,2443,13,186,7,723,19,70,1,4317,2,4097,8
3/9/2019,WAS,Washington Wizards,WAS @ MIN,Thomas Bryant,C,18.8,12649,0,12874,2,8551,1,2443,3,11548,2,6102,4,9339,0,11467,0,15731,9
3/9/2019,LAL,Los Angeles Lakers,LAL vs. BOS,Isaac Bonga,G,3.2,22340,0,12874,0,18130,1,2443,0,21502,0,13385,1,18809,0,11467,1,8514,10
3/8/2019,GSW,Golden State Warriors,GSW vs. DEN,DeMarcus Cousins,C,53.2,704,1,7056,6,1803,6,10,5,6509,2,6102,6,5192,3,415,3,1827,1
3/8/2019,TOR,Toronto Raptors,TOR @ NOP,Serge Ibaka,C-F,44.7,1730,0,12874,1,12618,5,37,6,4636,0,13385,11,1140,1,4317,0,15731,2
3/8/2019,UTA,Utah Jazz,UTA @ MEM,Rudy Gobert,C,34.9,4162,0,12874,1,12618,5,37,3,11548,3,4174,7,3913,1,4317,2,4097,3
3/8/2019,ORL,Orlando Magic,ORL vs. DAL,Aaron Gordon,F,35.7,3867,1,7056,3,5849,3,272,7,3260,3,4174,6,5192,0,11467,3,1827,4
3/8/2019,OKC,Oklahoma City Thunder,OKC @ LAC,Abdel Nader,F,24.2,9222,1,7056,0,18130,3,272,2,14769,1,10110,6,5192,1,4317,1,8514,5
3/8/2019,DAL,Dallas Mavericks,DAL @ ORL,Salah Mejri,C,23.5,9670,1,7056,1,12618,3,272,3,11548,1,10110,5,7038,0,11467,1,8514,6
3/8/2019,DET,Detroit Pistons,DET @ CHI,Thon Maker,F,15.1,15156,0,12874,1,12618,3,272,1,18112,0,13385,3,12137,0,11467,1,8514,7
3/8/2019,CHA,Charlotte Hornets,CHA vs. WAS,Jeremy Lamb,G,51,888,3,1597,4,3929,3,272,4,8828,8,447,10,1582,2,1393,1,8514,8
3/8/2019,DET,Detroit Pistons,DET @ CHI,Ish Smith,G,26.7,7833,0,12874,7,1184,2,812,3,11548,1,10110,6,5192,0,11467,4,786,9
3/8/2019,TOR,Toronto Raptors,TOR @ NOP,Chris Boucher,F,8.4,19548,0,12874,0,18130,2,812,0,21502,0,13385,2,15352,0,11467,0,15731,10
3/7/2019,MIL,Milwaukee Bucks,MIL vs. IND,Brook Lopez,C,34.2,4437,3,1597,0,18130,4,98,5,6509,0,13385,6,5192,1,4317,1,8514,1
3/7/2019,IND,Indiana Pacers,IND @ MIL,Myles Turner,C-F,56.9,458,4,662,3,5849,3,272,8,2174,2,6102,17,151,1,4317,2,4097,2
3/7/2019,OKC,Oklahoma City Thunder,OKC @ POR,Steven Adams,C,31.4,5566,0,12874,0,18130,2,812,6,4636,0,13385,7,3913,2,1393,1,8514,3
3/7/2019,POR,Portland Trail Blazers,POR vs. OKC,Damian Lillard,G,76.5,43,3,1597,9,525,2,812,15,65,18,9,5,7038,1,4317,3,1827,4
3/7/2019,IND,Indiana Pacers,IND @ MIL,Thaddeus Young,F,27.4,7453,2,3543,4,3929,2,812,3,11548,2,6102,2,15352,2,1393,3,1827,5
3/7/2019,POR,Portland Trail Blazers,POR vs. OKC,Enes Kanter,C,15.2,15090,0,12874,0,18130,2,812,1,18112,1,10110,6,5192,0,11467,1,8514,6
3/7/2019,MIL,Milwaukee Bucks,MIL vs. IND,Nikola Mirotic,F,16.7,14061,0,12874,1,12618,1,2443,1,18112,0,13385,6,5192,1,4317,0,15731,7
3/7/2019,MIL,Milwaukee Bucks,MIL vs. IND,Malcolm Brogdon,G,19.8,12020,1,7056,2,8551,1,2443,3,11548,0,13385,4,9339,1,4317,1,8514,8
3/7/2019,POR,Portland Trail Blazers,POR vs. OKC,Jusuf Nurkic,C,43.9,1878,0,12874,3,5849,1,2443,4,8828,5,1672,17,151,2,1393,3,1827,9
3/7/2019,POR,Portland Trail Blazers,POR vs. OKC,CJ McCollum,G,36,3772,3,1597,0,18130,1,2443,9,1419,4,2601,5,7038,1,4317,1,8514,10
3/6/2019,SAS,San Antonio Spurs,SAS @ ATL,Derrick White,G,54.7,592,1,7056,9,525,6,10,8,2174,1,10110,6,5192,0,11467,2,4097,1
3/6/2019,UTA,Utah Jazz,UTA @ NOP,Rudy Gobert,C,47.1,1365,0,12874,1,12618,4,98,10,888,2,6102,13,591,0,11467,4,786,2
3/6/2019,NYK,New York Knicks,NYK @ PHX,Mitchell Robinson,C,35.1,4085,0,12874,1,12618,4,98,3,11548,2,6102,8,2894,2,1393,2,4097,3
3/6/2019,MIA,Miami Heat,MIA @ CHA,Hassan Whiteside,C,48,1227,0,12874,0,18130,4,98,8,2174,2,6102,15,299,0,11467,0,15731,4
