GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,FG_DAY_RANK
4/1/2019,CHI,Chicago Bulls,CHI @ NYK,Robin Lopez,C,42.4,2115,0,12874,2,8551,1,2443,12,318,5,1672,7,3913,0,11467,1,8514,1
4/1/2019,MIA,Miami Heat,MIA @ BOS,Goran Dragic,G,50.7,919,3,1597,5,2659,0,7843,12,318,3,4174,1,18809,5,25,3,1827,2
4/1/2019,TOR,Toronto Raptors,TOR vs. ORL,Danny Green,G,48.5,1171,7,46,1,12618,3,272,11,549,0,13385,5,7038,2,1393,3,1827,3
4/1/2019,MIL,Milwaukee Bucks,MIL @ BKN,Eric Bledsoe,G,62.5,226,3,1597,7,1184,2,812,10,888,6,1093,5,7038,5,25,4,786,4
4/1/2019,PHI,Philadelphia 76ers,PHI @ DAL,Tobias Harris,F,37.7,3272,1,7056,3,5849,1,2443,10,888,4,2601,6,5192,0,11467,2,4097,5
4/1/2019,BKN,Brooklyn Nets,BKN vs. MIL,D'Angelo Russell,G,41.5,2292,4,662,3,5849,0,7843,9,1419,6,1093,10,1582,1,4317,6,130,6
4/1/2019,MIL,Milwaukee Bucks,MIL @ BKN,Giannis Antetokounmpo,F,46.2,1501,1,7056,2,8551,1,2443,9,1419,9,316,11,1140,1,4317,4,786,7
4/1/2019,NYK,New York Knicks,NYK vs. CHI,Luke Kornet,F-C,41.7,2257,5,280,1,12618,3,272,8,2174,3,4174,6,5192,0,11467,0,15731,8
4/1/2019,DET,Detroit Pistons,DET @ IND,Reggie Jackson,G,29.2,6570,1,7056,4,3929,0,7843,8,2174,5,1672,6,5192,0,11467,6,130,9
4/1/2019,MIA,Miami Heat,MIA @ BOS,Dwyane Wade,G,33.5,4691,0,12874,7,1184,0,7843,8,2174,1,10110,5,7038,1,4317,3,1827,10
3/9/2019,MIN,Minnesota Timberwolves,MIN vs. WAS,Karl-Anthony Towns,C,69,105,4,662,2,8551,1,2443,15,65,6,1093,15,299,2,1393,1,8514,1
3/9/2019,ATL,Atlanta Hawks,ATL vs. BKN,John Collins,F-C,62.8,219,0,12874,2,8551,1,2443,13,186,7,723,19,70,1,4317,2,4097,2
3/9/2019,WAS,Washington Wizards,WAS @ MIN,Bradley Beal,G,64.5,169,2,3543,9,525,1,2443,13,186,8,447,10,1582,1,4317,3,1827,3
3/9/2019,LAL,Los Angeles Lakers,LAL vs. BOS,LeBron James,F,57,453,1,7056,12,111,0,7843,13,186,3,4174,10,1582,0,11467,3,1827,4
3/9/2019,MIN,Minnesota Timberwolves,MIN vs. WAS,Derrick Rose,G,38.1,3148,0,12874,3,5849,0,7843,13,186,3,4174,3,12137,1,4317,2,4097,5
3/9/2019,BOS,Boston Celtics,BOS @ LAL,Kyrie Irving,G,56.9,458,5,280,5,2659,2,812,12,318,1,10110,7,3913,2,1393,1,8514,6
3/9/2019,CHA,Charlotte Hornets,CHA @ MIL,Kemba Walker,G,34.6,4279,3,1597,4,3929,1,2443,11,549,0,13385,3,12137,0,11467,3,1827,7
3/9/2019,POR,Portland Trail Blazers,POR vs. PHX,CJ McCollum,G,40.6,2511,4,662,4,3929,1,2443,11,549,0,13385,3,12137,1,4317,1,8514,8
3/9/2019,SAC,Sacramento Kings,SAC @ NYK,De'Aaron Fox,G,48,1227,2,3543,8,789,0,7843,11,549,6,1093,5,7038,1,4317,3,1827,9
