GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,DAY_RANK
4/1/2019,MIL,Milwaukee Bucks,MIL @ BKN,Eric Bledsoe,G,62.5,226,3,1597,7,1184,2,812,10,888,6,1093,5,7038,5,25,4,786,1
4/1/2019,DET,Detroit Pistons,DET @ IND,Andre Drummond,C,54.9,579,0,12874,5,2659,0,7843,8,2174,2,6102,17,151,4,121,3,1827,2
4/1/2019,MIA,Miami Heat,MIA @ BOS,Goran Dragic,G,50.7,919,3,1597,5,2659,0,7843,12,318,3,4174,1,18809,5,25,3,1827,3
4/1/2019,BOS,Boston Celtics,BOS vs. MIA,Al Horford,C-F,49.2,1089,0,12874,10,325,0,7843,7,3260,5,1672,11,1140,1,4317,1,8514,4
4/1/2019,TOR,Toronto Raptors,TOR vs. ORL,Danny Green,G,48.5,1171,7,46,1,12618,3,272,11,549,0,13385,5,7038,2,1393,3,1827,5
4/1/2019,IND,Indiana Pacers,IND vs. DET,Myles Turner,C-F,48.2,1205,2,3543,0,18130,5,37,5,6509,5,1672,6,5192,3,415,0,15731,6
4/1/2019,MIL,Milwaukee Bucks,MIL @ BKN,Giannis Antetokounmpo,F,46.2,1501,1,7056,2,8551,1,2443,9,1419,9,316,11,1140,1,4317,4,786,7
4/1/2019,MIA,Miami Heat,MIA @ BOS,Bam Adebayo,C-F,44.8,1717,1,7056,2,8551,2,812,8,2174,2,6102,14,434,0,11467,0,15731,8
4/1/2019,POR,Portland Trail Blazers,POR @ MIN,Enes Kanter,C,44.7,1730,0,12874,1,12618,4,98,7,3260,6,1093,11,1140,0,11467,2,4097,9
4/1/2019,IND,Indiana Pacers,IND vs. DET,Bojan Bogdanovic,F,44.4,1795,1,7056,6,1803,0,7843,7,3260,4,2601,7,3913,3,415,1,8514,10
3/9/2019,MIN,Minnesota Timberwolves,MIN vs. WAS,Karl-Anthony Towns,C,69,105,4,662,2,8551,1,2443,15,65,6,1093,15,299,2,1393,1,8514,1
3/9/2019,WAS,Washington Wizards,WAS @ MIN,Bradley Beal,G,64.5,169,2,3543,9,525,1,2443,13,186,8,447,10,1582,1,4317,3,1827,2
3/9/2019,ATL,Atlanta Hawks,ATL vs. BKN,John Collins,F-C,62.8,219,0,12874,2,8551,1,2443,13,186,7,723,19,70,1,4317,2,4097,3
3/9/2019,LAL,Los Angeles Lakers,LAL vs. BOS,LeBron James,F,57,453,1,7056,12,111,0,7843,13,186,3,4174,10,1582,0,11467,3,1827,4
3/9/2019,BOS,Boston Celtics,BOS @ LAL,Kyrie Irving,G,56.9,458,5,280,5,2659,2,812,12,318,1,10110,7,3913,2,1393,1,8514,5
3/9/2019,ATL,Atlanta Hawks,ATL vs. BKN,Trae Young,G,52.5,758,2,3543,11,183,0,7843,4,8828,13,62,10,1582,1,4317,2,4097,6
3/9/2019,MIL,Milwaukee Bucks,MIL vs. CHA,Giannis Antetokounmpo,F,51.6,833,2,3543,6,1803,1,2443,7,3260,10,204,13,591,1,4317,5,338,7
3/9/2019,SAC,Sacramento Kings,SAC @ NYK,De'Aaron Fox,G,48,1227,2,3543,8,789,0,7843,11,549,6,1093,5,7038,1,4317,3,1827,8
3/9/2019,BKN,Brooklyn Nets,BKN @ ATL,Jarrett Allen,C,42.4,2115,0,12874,2,8551,1,2443,5,6509,10,204,12,814,1,4317,1,8514,9
3/9/2019,BKN,Brooklyn Nets,BKN @ ATL,Spencer Dinwiddie,G,41.7,2257,4,662,7,1184,1,2443,7,3260,5,1672,6,5192,0,11467,2,4097,10
3/8/2019,LAC,LA Clippers,LAC vs. OKC,Lou Williams,G,65.9,145,4,662,5,2659,0,7843,13,186,10,204,7,3913,4,121,2,4097,1
3/8/2019,DET,Detroit Pistons,DET @ CHI,Andre Drummond,C,61.8,254,0,12874,2,8551,2,812,9,1419,2,6102,24,5,2,1393,2,4097,2
3/8/2019,GSW,Golden State Warriors,GSW vs. DEN,Klay Thompson,G,56.6,475,9,12,4,3929,1,2443,13,186,4,2601,3,12137,2,1393,1,8514,3
3/8/2019,HOU,Houston Rockets,HOU vs. PHI,James Harden,G,54.5,604,3,1597,7,1184,0,7843,11,549,6,1093,10,1582,2,1393,5,338,4
3/8/2019,OKC,Oklahoma City Thunder,OKC @ LAC,Russell Westbrook,G,54.1,639,2,3543,7,1184,1,2443,12,318,6,1093,8,2894,0,11467,1,8514,5
