GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,STL_DAY_RANK
4/1/2019,MIL,Milwaukee Bucks,MIL @ BKN,Eric Bledsoe,G,62.5,226,3,1597,7,1184,2,812,10,888,6,1093,5,7038,5,25,4,786,1
4/1/2019,MIA,Miami Heat,MIA @ BOS,Goran Dragic,G,50.7,919,3,1597,5,2659,0,7843,12,318,3,4174,1,18809,5,25,3,1827,2
4/1/2019,DET,Detroit Pistons,DET @ IND,Andre Drummond,C,54.9,579,0,12874,5,2659,0,7843,8,2174,2,6102,17,151,4,121,3,1827,3
4/1/2019,TOR,Toronto Raptors,TOR vs. ORL,Kyle Lowry,G,41.7,2257,3,1597,7,1184,1,2443,3,11548,3,4174,6,5192,3,415,0,15731,4
4/1/2019,ORL,Orlando Magic,ORL @ TOR,Jonathan Isaac,F,32.8,4968,2,3543,2,8551,3,272,3,11548,0,13385,4,9339,3,415,1,8514,5
4/1/2019,MIL,Milwaukee Bucks,MIL @ BKN,Pat Connaughton,G,33.9,4546,2,3543,3,5849,0,7843,5,6509,0,13385,7,3913,3,415,0,15731,6
4/1/2019,IND,Indiana Pacers,IND vs. DET,Bojan Bogdanovic,F,44.4,1795,1,7056,6,1803,0,7843,7,3260,4,2601,7,3913,3,415,1,8514,7
4/1/2019,IND,Indiana Pacers,IND vs. DET,Myles Turner,C-F,48.2,1205,2,3543,0,18130,5,37,5,6509,5,1672,6,5192,3,415,0,15731,8
4/1/2019,CHI,Chicago Bulls,CHI @ NYK,Walter Lemon Jr.,G,24.9,8806,0,12874,5,2659,0,7843,3,11548,0,13385,2,15352,3,415,0,15731,9
4/1/2019,MIN,Minnesota Timberwolves,MIN vs. POR,Tyus Jones,G,39.6,2762,0,12874,10,325,0,7843,7,3260,0,13385,3,12137,3,415,2,4097,10
3/9/2019,ATL,Atlanta Hawks,ATL vs. BKN,Vince Carter,F-G,22.9,9984,0,12874,1,12618,0,7843,4,8828,2,6102,2,15352,3,415,0,15731,1
3/9/2019,WAS,Washington Wizards,WAS @ MIN,Jeff Green,F,25,8754,1,7056,0,18130,1,2443,3,11548,3,4174,5,7038,3,415,3,1827,2
3/9/2019,BOS,Boston Celtics,BOS @ LAL,Marcus Smart,G,28.9,6714,4,662,5,2659,0,7843,6,4636,0,13385,2,15352,2,1393,3,1827,3
3/9/2019,MIN,Minnesota Timberwolves,MIN vs. WAS,Karl-Anthony Towns,C,69,105,4,662,2,8551,1,2443,15,65,6,1093,15,299,2,1393,1,8514,4
3/9/2019,MIL,Milwaukee Bucks,MIL vs. CHA,Eric Bledsoe,G,28.1,7107,3,1597,5,2659,0,7843,3,11548,2,6102,3,12137,2,1393,0,15731,5
